,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
4536,176-2122,5534228999422914578.xml,6823.2,6825.06,,,a whale is swimming in the sea,,,
4537,176-2123,5534228999422914578.xml,6825.07,6827.06,,,a man is talking to a woman and she is smiling,Ryan,,
4538,176-2124,5534228999422914578.xml,6827.07,6828.03,,,a man is dancing in front of a group of people,,,
4539,176-2125,5534228999422914578.xml,6828.04,6828.2,,,a bird is flying through the air and then <unk>,,,
4540,176-2126,5534228999422914578.xml,6828.21,6829.13,,,a pair of scissors that are on a table,,,
4541,176-2127,5534228999422914578.xml,6829.14,6830.13,,,a person holding a tiny bird in their hand,,,
4542,176-2128,5534228999422914578.xml,6830.14,6831.11,,,a cat is playing with a toy,,,
4543,176-2129,5534228999422914578.xml,6831.12,6832.09,,,a close up of a vase with a flower in it,,,
4544,176-2130,5534228999422914578.xml,6832.1,6833.15,,,a man is holding a small child in a forest,,,
4545,176-2131,5534228999422914578.xml,6833.16,6834.15,,,a fish swims in the water and then <unk>,,,
4546,176-2132,5534228999422914578.xml,6834.16,6835.24,,,a bird is perched on a tree limb,,,
4547,176-2133,5534228999422914578.xml,6836.0,6838.09,,,a man is singing and dancing in front of a crowd,,,
4548,176-2134,5534228999422914578.xml,6838.1,6838.21,,,a man is looking at a woman and then she looks away,,,
4549,176-2135,5534228999422914578.xml,6838.22,6844.18,,,a man is singing and dancing in a room,,,
4550,176-2136,5534228999422914578.xml,6844.19,6847.01,,,a man is dancing in a room with other people,Ryan,,
4551,176-2137,5534228999422914578.xml,6847.02,6858.16,,,a group of people standing in front of a large white wall,,,
4552,177-1,5539381671692122744.xml,0.0,3.02,,,a cat sitting on a bed under a blue umbrella,,,
4553,177-2,5539381671692122744.xml,3.03,4.08,,,a cat sitting on a bed under a blue umbrella,,,
4554,177-3,5539381671692122744.xml,4.09,6.22,,,a person on a skateboard doing a trick,,,
4555,177-4,5539381671692122744.xml,6.23,7.09,,,a car is driving on a track and then crashes into the barrier,,,
4556,177-5,5539381671692122744.xml,7.1,7.23,,,a plane flies through the sky and then turns,,,
4557,177-6,5539381671692122744.xml,7.24,29.17,,,a bird is walking on a tree branch,,,
4558,177-7,5539381671692122744.xml,29.18,32.1,,,a woman is looking at something and then she looks away,,,
4559,177-8,5539381671692122744.xml,32.11,34.18,,,a man is looking at something and then he looks away,,,
4560,177-9,5539381671692122744.xml,34.19,47.15,"Spain. 1999. Talk about painting the town red,  it was dripping blood  by the time we'd finished with it. Brighton. ",THEY LAUGH ,a woman is looking at something and then looks away,,,
4561,177-10,5539381671692122744.xml,47.16,52.17,"16 of us,  all in St Trinian's outfits.  St Trinian's,",1996. ,a man is looking at something and then he looks away,,,
4562,177-11,5539381671692122744.xml,52.18,57.21,"wahey!  And there was a skirt short,  so I nicked one of Belinda's belts -",,a man is looking at something and then looks away,,,
4563,177-12,5539381671692122744.xml,57.22,62.18,"no-one even knew the difference!  Well, Spain was more of a riot  than a stag.",,a man is looking at something and then he looks away,,,
4564,177-13,5539381671692122744.xml,62.19,65.21,The Mayor reckoned he was going to  ban hen nights after that.,,a woman is looking at something and then looks away,,,
4565,177-14,5539381671692122744.xml,65.22,81.05,"Times change, don't they, Alfie?  Yeah, just a bit.  No more massive bender for me now,  not lugging this thing around. And we've got Stacey's birthday  to sort out... And no massive bender  for you, neither.",,a man is sitting on a couch and talking,Ryan,,
4566,177-15,5539381671692122744.xml,81.06,82.12,,,a man is talking to a woman and she is smiling,,,
4567,177-16,5539381671692122744.xml,82.13,84.03,"I don't particularly want one,  thank you. Not with YOUR handicap.",,a woman is sitting on a couch and smiling,,,
4568,177-17,5539381671692122744.xml,84.04,85.2,,,a man is talking to a woman and she is smiling,,,
4569,177-18,5539381671692122744.xml,85.21,87.1,"Sorry, my what?  Your age.",,a woman is sitting on a couch and smiling,,,
4570,177-19,5539381671692122744.xml,87.11,94.15,"Is that right, my age?  Is that right?!  My age? Is it kicking? ",SHE LAUGHS ,a man is sitting on a couch and talking,,,
4571,177-20,5539381671692122744.xml,94.16,96.2,You all right?! Don't panic! ,,a motorcycle parked in front of a store,,,
4572,177-21,5539381671692122744.xml,96.21,99.23,,,a man is walking down a street and then he stops,,,
4573,177-22,5539381671692122744.xml,99.24,104.19,,,a man is dancing in a room,Janine,,
4574,177-23,5539381671692122744.xml,104.2,109.03,Max? The glazier's been on -  reckons he can't get here  for another few days at least.,,a woman is walking down a street,Ryan,,
4575,177-24,5539381671692122744.xml,109.04,111.04,,,a cat sitting on top of a car with a surfboard,,,
4576,177-25,5539381671692122744.xml,111.05,112.09,"It ain't been run for a few days,  probably just a flat.",,a man is walking down a street and smiling,,,
4577,177-26,5539381671692122744.xml,112.1,114.01,,,a woman is walking down a street,Ryan,,
4578,177-27,5539381671692122744.xml,114.02,122.13,"What, these as well?  Oh, no... ",,a car is parked in front of a parking meter,Ryan,,
4579,177-28,5539381671692122744.xml,122.14,124.08,,,a car with a surfboard strapped to the back of it,,,
4580,177-29,5539381671692122744.xml,124.09,126.11,,,a woman is walking down a street and smiling,,,
4581,177-30,5539381671692122744.xml,126.12,128.2,,,a woman sitting on a couch with a cat,,,
4582,177-31,5539381671692122744.xml,128.21,130.22,,,a woman sitting at a table working on a laptop,Janine,,
4583,177-32,5539381671692122744.xml,130.23,132.11,,,a cat sitting on a chair in a living room,,,
4584,177-33,5539381671692122744.xml,132.12,134.07,,,a woman sitting at a table working on a laptop,,,
4585,177-34,5539381671692122744.xml,134.08,137.02,"Cash withdrawal. Five grand.  Right, yeah, yeah, so I've had to  live, right? Like who? The Queen?",,a cat sitting on a chair in a living room,,,
4586,177-35,5539381671692122744.xml,137.03,138.02,,,a woman is sitting at a desk working on a laptop,Ryan,,Julie
4587,177-36,5539381671692122744.xml,138.03,141.05,"Yeah, that was for a holiday.  Well, that explains the flight upgrade(!)",,a cat sitting on a chair in a living room,Ryan,,
4588,177-37,5539381671692122744.xml,141.06,142.09,,,a woman is sitting at a table working on a laptop,,,
4589,177-38,5539381671692122744.xml,142.1,145.14,Six grand?!  So I like a bit of comfort when I travel!,,a woman is sitting on a couch and a man is laughing,,,
4590,177-39,5539381671692122744.xml,145.15,147.05,,,a woman is sitting at a desk working on a laptop,Ryan,,
4591,177-40,5539381671692122744.xml,147.06,149.12,A shop bill here for another three. ,,a woman is walking through a door and then turns around,,,
4592,177-41,5539381671692122744.xml,149.13,151.14,"I still haven't got through it all,  I can't have!",,a woman is sitting at a desk and smiling,,,
4593,177-42,5539381671692122744.xml,151.15,153.01,Where's your latest statement?  That should tell us. I don't know.,,a woman is walking in a room with a white door,Ryan,,
4594,177-43,5539381671692122744.xml,153.02,154.13,,,a woman is walking down a hallway,,,
4595,177-44,5539381671692122744.xml,154.14,155.18,It's probably in this lot  you haven't even opened. I've been busy! I can see.,,a girl is dancing in a room,,,
4596,177-45,5539381671692122744.xml,155.19,157.0,,,a woman is walking down a hallway,,,
4597,177-46,5539381671692122744.xml,157.01,159.2,,,a woman is holding a baby in a kitchen,,,
4598,177-47,5539381671692122744.xml,159.21,161.12,,,a woman is walking through a door and then falls,,,
4599,177-48,5539381671692122744.xml,161.13,163.08,"Yeah. Yeah someone else has  been busy too, haven't they? What does that mean?",,a woman is walking in a room with a white curtain,,,
4600,177-49,5539381671692122744.xml,163.09,165.2,,,a woman is talking to a man and he is smiling,Janine,,Julie
4601,177-50,5539381671692122744.xml,165.21,167.24,,,a woman is smiling and then she smiles,Stacey,,
4602,177-51,5539381671692122744.xml,168.0,173.02,"not by myself.  So someone else has been helping themselves,",,a woman is talking to a man who is smiling,Janine Stacey Ryan,,Julie
4603,177-52,5539381671692122744.xml,173.03,173.24,is that what you're saying?  And I take it you're thinking of me?,,a woman is smiling and waving her hand,,,
4604,177-53,5539381671692122744.xml,174.0,174.24,,,a woman is talking to a man and he is smiling,,,
4605,177-54,5539381671692122744.xml,175.0,175.23,,,a man is holding a woman s hand and kissing her,,,
4606,177-55,5539381671692122744.xml,175.24,177.07,That's not what I'm saying.  So what are you saying?,,a woman is talking to a man and he is smiling,,,
4607,177-56,5539381671692122744.xml,177.08,180.02,,PHONE RINGS ,a woman is holding her hands to her face and smiling,,,
4608,177-57,5539381671692122744.xml,180.03,181.06,"Whoever that is,  please get rid of them.",,a woman is sitting in a chair and smiling,,,
4609,177-58,5539381671692122744.xml,181.07,183.07,,,a woman is dancing in a room,,,
4610,177-59,5539381671692122744.xml,183.08,184.15,Tell them we've got a crisis. ,,a woman is dancing in a kitchen,,,
4611,177-60,5539381671692122744.xml,184.16,187.11,Hello?  It's the florist.  I don't want to talk to anyone!,,a woman is kissing a man in a room,Janine,,
4612,177-61,5539381671692122744.xml,187.12,192.13,"Listen, this really isn't a... ",,a woman is talking to a man and he is smiling,,,
4613,177-62,5539381671692122744.xml,192.14,206.24,They can't do those  displays you ordered. I have got all this on my plate  and they're banging on about  a few poxy flowers! Your cheque bounced. ,,a woman is talking to a man and he is smiling,Janine Ryan Stacey,Janine,
4614,177-63,5539381671692122744.xml,207.0,216.22,,,a man is walking down a street while holding a bag,Janine Stacey Ryan,,
4615,177-64,5539381671692122744.xml,216.23,240.12,"No Ronnie?  Yeah, well, I didn't want to  bother her with all this. Not this week of all weeks.  I want her mind  filled with good things. She should be thinking  of the wedding tomorrow, not the sort of stuff she'll be  hearing in that court. And I definitely don't want her  in the same room as that dirty scumbag who shot me in the head. Is that why you ditched the stick?  Don't want to give Kylie  the satisfaction of seeing what she's done? Shall we get on?",,a man is talking to a woman and she is smiling,Ryan,Ryan,
4616,177-65,5539381671692122744.xml,240.13,242.08,,,a man is sitting in a car and smiling,Ryan,,
4617,177-66,5539381671692122744.xml,242.09,245.19,"Nice thought about Ronnie, though.  Just makes it  all the more of a shame, really.",,a man in a suit is walking down a street,Ryan,Ryan,
4618,177-67,5539381671692122744.xml,245.2,247.23,What does?  She phoned me this morning to ask what time we were going.,,a man is sitting in a car and smiling,,,
4619,177-68,5539381671692122744.xml,247.24,248.14,,,a woman is walking down a hallway,,,
4620,177-69,5539381671692122744.xml,248.15,249.13,,,a woman is walking down a street,,,
4621,177-70,5539381671692122744.xml,249.14,249.22,,,a woman is walking down a street,,,
4622,177-71,5539381671692122744.xml,249.23,252.07,She asked me not to say anything.  She reckoned if you knew,,a man is sitting in a car and smiling,,,
4623,177-72,5539381671692122744.xml,252.08,257.05,that you'd persuade her not to. ,,a man and a woman are walking down a street,Janine Ryan,,
4624,177-73,5539381671692122744.xml,257.06,258.04,,,a man is sitting in a chair and smiling,,,
4625,177-74,5539381671692122744.xml,258.05,260.04,,,a man and a woman are walking down a street,Ryan,,
4626,177-75,5539381671692122744.xml,260.05,262.1,,,a woman in a red dress is dancing in a kitchen,,,
4627,177-76,5539381671692122744.xml,262.11,264.18,,,a woman is talking to a man and he is smiling,,,
4628,177-77,5539381671692122744.xml,264.19,267.06,"I'm sorry, Max.  It's all right, don't be daft. Jack's wanted to change  that window for a long time.",,a man is talking to a woman and she is smiling,Ryan,,
4629,177-78,5539381671692122744.xml,267.07,269.04,,,a woman is talking to a man and he is smiling,,,
4630,177-79,5539381671692122744.xml,269.05,274.21,"That brick did me a favour, I reckon,  hitting my old stereo like that. Least that's what  I've told the insurers.",,a woman is talking to a man and he is smiling,,,
4631,177-80,5539381671692122744.xml,274.22,286.04,"I'll cop myself a nice  new docking station on the pay-out. Plus I'll get new tyres  for them old motors, so... Max, don't try and make me  feel better about this. Babe, he's probably  shot his bolt now.",,a man and woman are standing in a room,Ryan,,
4632,177-81,5539381671692122744.xml,286.05,293.2,"You don't know Harry.  Nah, he's got it out of his system, hasn't he? VOICE CRACKS:  Max, that brick could have killed someone.",,a man and a woman are kissing in a room,Janine Ryan,,
4633,177-82,5539381671692122744.xml,293.21,296.06,"OK, get at me, fair enough, but... ",,a man is looking at something and then looks up,,,
4634,177-83,5539381671692122744.xml,296.07,298.14,,,a woman with long hair is smiling and talking,Janine,,
4635,177-84,5539381671692122744.xml,298.15,299.21,"it's not just me  who lives here, is it?",,a man is looking at a woman and smiling,,,
4636,177-85,5539381671692122744.xml,299.22,304.09,There's Jodie... ,,a woman with long hair is smiling and talking,Janine,,
4637,177-86,5539381671692122744.xml,304.1,305.16,and Abi and Lauren. ,,a man is looking at a woman and smiling,,,
4638,177-87,5539381671692122744.xml,305.17,306.16,,,a woman with long hair is talking and smiling,Janine,,
4639,177-88,5539381671692122744.xml,306.17,307.07,,,a woman is looking at something and smiling,,,
4640,177-89,5539381671692122744.xml,307.08,308.15,,,a woman is talking to a man and he is smiling,,,
4641,177-90,5539381671692122744.xml,308.16,311.14,,,a man is looking at something and then looks away,,,
4642,177-91,5539381671692122744.xml,311.15,313.0,Come here. ,,a man is holding a baby and smiling,,,
4643,177-92,5539381671692122744.xml,313.01,314.24,,,a man is looking at a woman and smiling,,,
4644,177-93,5539381671692122744.xml,315.0,321.01,"Love, I need your help.  I'm going over the Vic.",,a woman is dancing in a kitchen,Ryan,,
4645,177-94,5539381671692122744.xml,321.02,322.07,The wholesaler's  messed up the delivery,,a man is dancing in a room,,,
4646,177-95,5539381671692122744.xml,322.08,323.01,,,a man is talking to a woman and she is smiling,Ryan,,
4647,177-96,5539381671692122744.xml,323.02,325.07,and I've got the accounts to do.  I told Alfie I'd show him  some sample menus.,,a man is talking to a woman and she is smiling,,,
4648,177-97,5539381671692122744.xml,325.08,326.2,,,a man is talking to a woman and she is smiling,Ryan,,
4649,177-98,5539381671692122744.xml,326.21,329.12,I can drop that off if you want.  I've been up  since 6am working on these.,,a man is talking to a woman and she is smiling,Janine Ryan,,
4650,177-99,5539381671692122744.xml,329.13,331.22,,,a man is talking to a woman and she is looking at her,Ryan,,
4651,177-100,5539381671692122744.xml,331.23,334.02,"Here's a list of what's missing.  If you don't get someone down there  pronto, it'll all be gone.",,a man is talking to a woman and she is smiling,,,
4652,177-101,5539381671692122744.xml,334.03,335.06,,,a man is talking to a woman and she is smiling,Ryan,,
4653,177-102,5539381671692122744.xml,335.07,340.13,"Right, well, tell Alfie  I'm covering the chip shop today",,a man is talking to a woman and she is smiling,,,
4654,177-103,5539381671692122744.xml,340.14,345.2,"if he wants to chat anything through.  Yeah.  You know, anything at all. ",,a man is holding a box of pizza and talking to another man,Ryan,,
4655,177-104,5539381671692122744.xml,345.21,346.15,,,a woman is walking through a door and then turns around,,,
4656,177-105,5539381671692122744.xml,346.16,348.15,,,a man is talking to a woman and she is smiling,,,
4657,177-106,5539381671692122744.xml,348.16,354.24,,,a man is dancing in a kitchen,,,
4658,177-107,5539381671692122744.xml,355.0,355.06,,,a man is putting his hand on his head,,,
4659,177-108,5539381671692122744.xml,355.07,356.18,,,a man is walking through a door and is <unk> by a woman,,,
4660,177-109,5539381671692122744.xml,356.19,357.12,,,a man is looking at a mirror and then he opens his mouth,,,
4661,177-110,5539381671692122744.xml,357.13,358.02,,,a man is walking down a street and then he stops,,,
4662,177-111,5539381671692122744.xml,358.03,358.14,,,a man is dancing and singing in a room,,,
4663,177-112,5539381671692122744.xml,358.15,361.11,,,a man is walking and then he stops and looks down,Ryan,,
4664,177-113,5539381671692122744.xml,361.12,365.22,Darren. ,,a man in a suit is walking down a crowded street,Ryan,,
4665,177-114,5539381671692122744.xml,365.23,366.16,,,a man is walking down a street and then he stops,,,
4666,177-115,5539381671692122744.xml,366.17,370.15,"Got it.  Got what? The Attack-Mac. You know, the  computer game, the latest version...",,a man in a suit is walking down a crowded street,Ryan,,
4667,177-116,5539381671692122744.xml,370.16,373.04,Tam...  Come over lunchtime 0 I've got it set up.,,a man is dancing in a room with other people,,,
4668,177-117,5539381671692122744.xml,373.05,377.04,"I'm taking Jodie over the Vic.  This evening, then.  Well, I'm taking her out tonight as well. Jodie?",,a man is talking to a woman in front of a crowd,Ryan,,
4669,177-118,5539381671692122744.xml,377.05,379.13,,,a man is walking through a door and then falls,,,
4670,177-119,5539381671692122744.xml,379.14,380.17,,,a man in a suit is walking down a crowded street,,,
4671,177-120,5539381671692122744.xml,380.18,381.24,,,a man in a suit is walking down a hallway,,,
4672,177-121,5539381671692122744.xml,382.0,384.03,,,a man in a suit is walking down a crowded street,Ryan,,
4673,177-122,5539381671692122744.xml,384.04,384.24,"It's not about allowing,  it's what I want.",,a man is dancing in a room with a lot of people,,,
4674,177-123,5539381671692122744.xml,385.0,387.05,Why am I even bothering?  You won't understand.,,a man in a suit is walking away from a crowd,Ryan,,
4675,177-124,5539381671692122744.xml,387.06,387.24,,,a man is dancing in front of a crowd,,,
4676,177-125,5539381671692122744.xml,388.0,402.11,"What?  Well, you know, sometimes I envy you. You ain't gotta worry about anyone -  just yourself and your laptop. Doesn't really sound like  you envy me, Darren... sounds like you're  feeling sorry for me. Tamwar, Tamwar, ",,a man in a suit and tie is walking down a crowded street,Ryan,,
4677,177-126,5539381671692122744.xml,402.12,403.02,,,a man is walking down a hallway and smiling,,,
4678,177-127,5539381671692122744.xml,403.03,403.21,,,a man is walking down a street and then he stops,,,
4679,177-128,5539381671692122744.xml,403.22,425.01,"would you mind taking  Kamil back for me? It's taken me half an hour  to get round the block - I keep being stopped every few steps  by cooing girls. He's quite the looker, isn't he?  Never had that reaction with you.  That was a joke, Tam.  All right, probably not  the best of jokes, but... Tam?",,a man is walking and talking to a woman,Ryan,,
4680,177-129,5539381671692122744.xml,425.02,425.14,,,a man is walking down a hallway and then he stops,,,
4681,177-130,5539381671692122744.xml,425.15,426.16,,,a man is talking to a woman and she is smiling,Ryan,Ryan,
4682,177-131,5539381671692122744.xml,426.17,436.15,"Still no sign?  She's been out all night.  That's what cats do though,  ain't it? Not Crystal, she's normally tucked  up in bed with me, you know that.",,a woman is holding a glass and talking to a man,Ryan,,
4683,177-132,5539381671692122744.xml,436.16,448.15,"Yeah, yeah, I had noticed that.  What if something's happened to her?  She probably fancied a night on the tiles! Anyway, if she was in an accident  someone would have spotted her.",,a man is talking to a woman and she is smiling,Stacey Ryan,,
4684,177-133,5539381671692122744.xml,448.16,456.07,"Jode, I know it's upsetting, what  with this business with your dad... We don't know it was Dad  who threw that brick. After what he sprayed on the door?",,a man is talking to a woman and she is smiling,Ryan,,
4685,177-134,5539381671692122744.xml,456.08,461.0,"What about them posters of your mum?  It could have just been some kid,  all right?",,a woman is talking to a man and he is talking on the phone,,,
4686,177-135,5539381671692122744.xml,461.01,462.1,,,a man is dancing in a room with a woman,,,
4687,177-136,5539381671692122744.xml,462.11,464.14,,,a man is looking at something and smiling,Stacey,,
4688,177-137,5539381671692122744.xml,464.15,471.16,"Yeah, it's for  the stag booking tonight... Branning. ",KNOCK ON DOOR ,a man is walking in a room with a <unk>,,,
4689,177-138,5539381671692122744.xml,471.17,515.07,"Er, yeah, I booked the...  female entertainer.  Yeah, well, I need to cancel.  Yeah. Sorry.  All right, cheers.  You go and ogle as many strippers  as you like, I don't care. As long as you come home to me  at the end of the night. Yeah, well, it was a stupid idea.  Well, it can't have seemed  so stupid when you booked it. What's the matter,  just not in the mood any more?  Oh, great. So that's another thing ",,a man is looking at something and then looks away,Janine Ryan,,Max
4690,177-139,5539381671692122744.xml,515.08,519.1,"to thank Harry for, now he's  spoiling Jack's stag do as well.",,a man is walking in a room with a woman,Ryan,,
4691,177-140,5539381671692122744.xml,519.11,520.04,,,a man is talking to a woman and she looks away,,,
4692,177-141,5539381671692122744.xml,520.05,522.17,,DOOR OPENS ,a woman is kissing a man on the cheek,,,
4693,177-142,5539381671692122744.xml,522.18,524.02,,,a man is looking at a woman and she is looking at him,,,
4694,177-143,5539381671692122744.xml,524.03,525.14,,,a man is kissing a woman on the forehead,,,
4695,177-144,5539381671692122744.xml,525.15,527.1,,,a woman is dancing in a room,,,
4696,177-145,5539381671692122744.xml,527.11,530.05,What's happened to her? ,,a man is walking in a room with a woman,Janine,,
4697,177-146,5539381671692122744.xml,530.06,531.11,,,a woman is walking through a door and then falls,,,
4698,177-147,5539381671692122744.xml,531.12,538.0,"What, who?  Crystal. Silly old cat's probably just  got herself locked in somewhere, won't be the first time.",MAX'S MOBILE RINGS ,a man is walking in a room with a <unk>,Ryan,,
4699,177-148,5539381671692122744.xml,538.01,539.19,,,a woman is walking down a hallway and talking to a man,Ryan,,
4700,177-149,5539381671692122744.xml,539.2,545.13,"Come on. I'll help you find her.  I've been looking. Yeah, but two pairs of eyes,  better than one, eh?",,a woman is holding a baby and a man is watching,,,
4701,177-150,5539381671692122744.xml,545.14,549.12,,,a man is looking at a woman and smiling,,,
4702,177-151,5539381671692122744.xml,549.13,551.08,"Lauren, go and help 'em look,  will you?",,a woman is standing in a room with a refrigerator,Ryan,,
4703,177-152,5539381671692122744.xml,551.09,552.11,"What?  Go on, you ain't doing anything else.",,a man is looking at a mirror and then he looks away,,,
4704,177-153,5539381671692122744.xml,552.12,553.22,,,a woman is dancing in front of a mirror,Ryan,,
4705,177-154,5539381671692122744.xml,553.23,555.06,I'm ill.  Then the fresh air will do you good.,,a man is looking at a woman and smiling,,,
4706,177-155,5539381671692122744.xml,555.07,557.21,,,a woman is looking at a mirror and then she <unk>,,,
4707,177-156,5539381671692122744.xml,557.22,561.17,,,a man is walking in a room with a <unk>,,,
4708,177-157,5539381671692122744.xml,561.18,562.04,,,a man is walking and then he turns around,,,
4709,177-158,5539381671692122744.xml,562.05,565.07,,,a man is sitting on a couch and talking,Ryan,,
4710,177-159,5539381671692122744.xml,565.08,573.2,"Stacey. It's me.  Yeah, sorry, I didn't pick up,  I've been a bit tied up.",,a man is talking on a cell phone while looking at his watch,Janine,,Max
4711,177-160,5539381671692122744.xml,573.21,580.01,What are you doing?  Hold that. And this.  Roxy? I knew it!,,a man is sitting in a car with a dog,Janine Ryan,,Julie
4712,177-161,5539381671692122744.xml,580.02,580.11,,,a woman is holding a phone and talking to a man,,,
4713,177-162,5539381671692122744.xml,580.12,581.15,I knew I'd left some in here. ,,a woman is walking down a street,,,
4714,177-163,5539381671692122744.xml,581.16,581.24,,,a woman is kissing a man on his cheek,,,
4715,177-164,5539381671692122744.xml,582.0,583.19,You left a bag of money  in the back of your car?!,,a woman is talking to a man and he is smiling,Janine,,
4716,177-165,5539381671692122744.xml,583.2,586.11,What if I'm out shopping and I  haven't brought enough with me?,,a woman is talking to a man and he is talking to her,Stacey,,
4717,177-166,5539381671692122744.xml,586.12,588.1,,,a woman is walking away from a man,Janine,,
4718,177-167,5539381671692122744.xml,588.11,589.22,"Well, how much is in there?  Enough to pay the florist.",,a woman is talking to a man and he is talking to her,,,
4719,177-168,5539381671692122744.xml,589.23,591.22,,,a woman is talking to a man and he is talking to her,Janine,,
4720,177-169,5539381671692122744.xml,591.23,593.06,"Yeah, but not much else though. ",,a woman is walking down the street with a red scarf on,Ryan,,
4721,177-170,5539381671692122744.xml,593.07,602.01,"Have you even read  your latest statement? Mother, I get a lot of mail.  I can't read all of it. Too scared, more like.",,a man is walking and talking to a woman,Janine Ryan Stacey,,
4722,177-171,5539381671692122744.xml,602.02,603.21,"Listen, do not tell Ronnie  about this, OK? I won't need to.",,a woman is talking to a man and he looks away,,,
4723,177-172,5539381671692122744.xml,603.22,605.08,,,a woman is talking to a man and he looks away,,,
4724,177-173,5539381671692122744.xml,605.09,607.1,"I promised her the perfect day.  Roxy, please, get real.",,a woman is talking to a man and smiling,Janine,,Julie
4725,177-174,5539381671692122744.xml,607.11,611.21,"Listen, she deserves that,  doesn't she?",,a woman is talking to a man and he is smiling,Stacey,,
4726,177-175,5539381671692122744.xml,611.22,614.09,"One day that she can look back on  and say, ""No matter what else went wrong in my life,",,a woman is talking to a man and he looks away,Janine,,
4727,177-176,5539381671692122744.xml,614.1,619.13,"""that was perfect"".  And that is what she's going to get. ",,a woman is talking to a man and smiling,Stacey,,
4728,177-177,5539381671692122744.xml,619.14,622.11,,,a woman is talking to someone and smiling,Janine,,
4729,177-178,5539381671692122744.xml,622.12,631.23,"It's not that I didn't want you  to come. It's just... like I said to Carol,  there's so much going on the week of the wedding.",,a man and a woman are walking down a hallway,Janine Ryan,,
4730,177-179,5539381671692122744.xml,631.24,634.23,"Exactly, Jack. The wedding. ",,a man and a woman are walking down a hallway,Janine Ryan,Ryan,
4731,177-180,5539381671692122744.xml,634.24,637.22,"I'm about to become your wife.  Which means you've got so much else  to be sorting out. No, no.",,a man and a woman are walking down a hallway,Ryan,Ryan,
4732,177-181,5539381671692122744.xml,637.23,648.14,Meaning my place is here with you. ,,a man and a woman are walking down a hallway,Janine Ryan,Ryan,
4733,177-182,5539381671692122744.xml,648.15,650.13,,,a man in a suit is walking through a door,,,
4734,177-183,5539381671692122744.xml,650.14,654.03,,,a woman is sitting on a chair and then she is dancing,Ryan,,
4735,177-184,5539381671692122744.xml,654.04,656.11,"Listen, we're going to  hear the sentence,",,a man in a suit is talking to a woman,Ryan,Ryan,
4736,177-185,5539381671692122744.xml,656.12,659.12,"see justice done, and then  we'll put this behind us, OK?",,a man and a woman are kissing each other,Ryan,,
4737,177-186,5539381671692122744.xml,659.13,663.03,,,a man is talking to a woman in front of a crowd,Ryan,Ryan,
4738,177-187,5539381671692122744.xml,663.04,665.16,"Yeah. Yeah, right. ",,a man and a woman are kissing in a room,,,
4739,177-188,5539381671692122744.xml,665.17,675.09,,,a man in a suit is walking through a door,Janine Ryan,Ryan,
4740,177-189,5539381671692122744.xml,675.1,676.21,,,a man is looking inside of a fridge,,,
4741,177-190,5539381671692122744.xml,676.22,677.21,,,a man is sitting in a chair and talking to another man,,,
4742,177-191,5539381671692122744.xml,677.22,679.0,,,a man is sitting in a chair and talking,Ryan,,
4743,177-192,5539381671692122744.xml,679.01,680.15,Can you put extra chips in that one? ,,a man is drinking from a bottle and then <unk> it out of his mouth,,,
4744,177-193,5539381671692122744.xml,680.16,681.13,"Feeling hungry, are we?  No, that one's for Tam.",,a man is sitting in a chair and talking,,,
4745,177-194,5539381671692122744.xml,681.14,684.08,You and Zainab looking  to build him up a bit?,,a woman is drinking from a bottle,Ryan,,
4746,177-195,5539381671692122744.xml,684.09,686.08,,,a man is sitting on a bed and smiling,,,
4747,177-196,5539381671692122744.xml,686.09,687.17,I'm looking to do a bit of  bridge-building. When will I learn?,,a woman is holding a cell phone in her hand,,,
4748,177-197,5539381671692122744.xml,687.18,690.0,Young men -  never tease them about girls.,,a man is sitting on a bed with a book,Ryan,,
4749,177-198,5539381671692122744.xml,690.01,692.05,"Never mind young men,  make that ALL men.",,a woman is holding a cell phone in her hand,,,
4750,177-199,5539381671692122744.xml,692.06,693.21,,,a man is sitting in a chair and smiling,Ryan,,
4751,177-200,5539381671692122744.xml,693.22,694.23,"When it comes to women,  most of you are little kids.",,a woman is drinking from a glass,,,
4752,177-201,5539381671692122744.xml,694.24,696.15,,,a woman is pouring a drink into a glass,Ryan,,
4753,177-202,5539381671692122744.xml,696.16,698.08,"Only because we let you think so.  Oh, so it's all an act, is it?",,a woman is drinking from a bottle in a kitchen,Janine,,
4754,177-203,5539381671692122744.xml,698.09,702.23,"First, we let you feel sorry for us  and let you mother us a bit.",,a man is talking to a woman and she is smiling,Ryan,,
4755,177-204,5539381671692122744.xml,702.24,705.0,"And then, when  your defences are down...",,a woman in a kitchen holding a bottle of wine,,,
4756,177-205,5539381671692122744.xml,705.01,706.09,,,a man is talking to someone and smiling,,,
4757,177-206,5539381671692122744.xml,706.1,709.09,,,a woman is standing in a kitchen holding a bottle of alcohol,,,
4758,177-207,5539381671692122744.xml,709.1,711.24,Ian... ! Back in a minute. ,,a man is talking to someone and smiling,Ryan,,
4759,177-208,5539381671692122744.xml,712.0,714.06,,,a man is walking past a store front with a clock,,,
4760,177-209,5539381671692122744.xml,714.07,714.11,,,a man is talking to another man and smiling,,,
4761,177-210,5539381671692122744.xml,714.12,715.02,Did you see Alfie? ,,a man is walking down a hallway and then he stops,,,
